"NBN Atlas record ID","Occurrence ID","Licence","Rightsholder","Scientific name","Taxon author","Name qualifier","Common name","Species ID (TVK)","Taxon Rank","Occurrence status","Start date","Start date day","Start date month","Start date year","End date","End date day","End date month","End date year","Locality","OSGR","Latitude (WGS84)","Longitude (WGS84)","Coordinate uncertainty (m)","Verbatim depth","Recorder","Determiner","Individual count","Abundance","Abundance scale","Organism scope","Organism remarks","Sex","Life stage","Occurrence remarks","Identification verification status","Basis of record","Survey key","Dataset name","Dataset ID","Data provider","Data provider ID","Institution code","Kingdom","Phylum","Class","Order","Family","Genus","OSGR 100km","OSGR 10km","OSGR 2km","OSGR 1km","Country","State/Province","Vitality"
"ff1f5249-916a-4c50-8843-0b1a25235a46","120285919","CC-BY-NC","BTO","Turdus iliacus","Linnaeus, 1758","","Redwing","NHMSYS0000530673","species","present","2017-03-18","18","03","2017","","","","","","SD6370","54.129047","-2.560041","707.1","","Withheld","","","","","","","","","","Accepted - considered correct","HumanObservation","","Birds (BTO+partners) 2016 - 2019","dr2382","British Trust for Ornithology","dp29","BTO","Animalia","Chordata","Aves","Passeriformes","Turdidae","Turdus","SD","SD67","SD67F","SD6370","United Kingdom","England","alive"
"fe87f6cc-9c59-4c91-bcf1-a7dd1c91c6dd","120075920","CC-BY-NC","BTO","Turdus iliacus","Linnaeus, 1758","","Redwing","NHMSYS0000530673","species","present","2016-03-17","17","03","2016","","","","","","SD3075","54.170567","-3.066108","707.1","","Withheld","","","","","","","","","","Accepted - considered correct","HumanObservation","","Birds (BTO+partners) 2016 - 2019","dr2382","British Trust for Ornithology","dp29","BTO","Animalia","Chordata","Aves","Passeriformes","Turdidae","Turdus","SD","SD37","SD37C","SD3075","United Kingdom","England","alive"
"fc9495ba-33e0-4664-abeb-9002240abed2","125646717","CC-BY-NC","BTO","Turdus iliacus","Linnaeus, 1758","","Redwing","NHMSYS0000530673","species","present","2018-03-03","03","03","2018","","","","","","SD4972","54.145833","-2.774594","707.1","","Withheld","","","","","","","","","","Accepted - considered correct","HumanObservation","","Birds (BTO+partners) 2016 - 2019","dr2382","British Trust for Ornithology","dp29","BTO","Animalia","Chordata","Aves","Passeriformes","Turdidae","Turdus","SD","SD47","SD47W","SD4972","United Kingdom","England","alive"
"f8296cd6-965f-4e32-8968-3fa5e3171f60","114091775","CC-BY-NC","BTO","Turdus iliacus","Linnaeus, 1758","","Redwing","NHMSYS0000530673","species","present","2016-03-28","28","03","2016","","","","","","NY0112","54.498224","-3.522423","707.1","","Withheld","","","","","","","","","","Accepted - considered correct","HumanObservation","","Birds (BTO+partners) 2016 - 2019","dr2382","British Trust for Ornithology","dp29","BTO","Animalia","Chordata","Aves","Passeriformes","Turdidae","Turdus","NY","NY01","NY01B","NY0112","United Kingdom","England","alive"
"f63d2467-0e1d-408b-b6ae-4099adea954f","99919757","CC-BY-NC","BTO","Turdus iliacus","Linnaeus, 1758","","Redwing","NHMSYS0000530673","species","present","2018-03-31","31","03","2018","","","","","","NY3804","54.432183","-2.949563","707.1","","Withheld","","","","","","","","","","Accepted - considered correct","HumanObservation","","Birds (BTO+partners) 2016 - 2019","dr2382","British Trust for Ornithology","dp29","BTO","Animalia","Chordata","Aves","Passeriformes","Turdidae","Turdus","NY","NY30","NY30X","NY3804","United Kingdom","England","alive"
"f0fd564a-30f5-4cc0-a80c-1674eba19ccc","108211724","CC-BY-NC","BTO","Turdus iliacus","Linnaeus, 1758","","Redwing","NHMSYS0000530673","species","present","2017-03-11","11","03","2017","","","","","","SD4987","54.28063","-2.777122","707.1","","Withheld","","","","","","","","","","Accepted - considered correct","HumanObservation","","Birds (BTO+partners) 2016 - 2019","dr2382","British Trust for Ornithology","dp29","BTO","Animalia","Chordata","Aves","Passeriformes","Turdidae","Turdus","SD","SD48","SD48Y","SD4987","United Kingdom","England","alive"
"eed0baea-c4f5-46a8-9cba-87318353df26","104011813","CC-BY-NC","BTO","Turdus iliacus","Linnaeus, 1758","","Redwing","NHMSYS0000530673","species","present","2018-03-31","31","03","2018","","","","","","NY2332","54.681721","-3.188039","707.1","","Withheld","","","","","","","","","","Accepted - considered correct","HumanObservation","","Birds (BTO+partners) 2016 - 2019","dr2382","British Trust for Ornithology","dp29","BTO","Animalia","Chordata","Aves","Passeriformes","Turdidae","Turdus","NY","NY23","NY23G","NY2332","United Kingdom","England","alive"
"eb5ba82d-fada-4a9b-829c-bf6828530bb9","118185868","CC-BY-NC","BTO","Turdus iliacus","Linnaeus, 1758","","Redwing","NHMSYS0000530673","species","present","","","03","2018","","","","","","NY24","54.794256","-3.168006","7071.1","","Withheld","","","","","","","","","","Accepted - considered correct","HumanObservation","","Birds (BTO+partners) 2016 - 2019","dr2382","British Trust for Ornithology","dp29","BTO","Animalia","Chordata","Aves","Passeriformes","Turdidae","Turdus","NY","NY24","","","United Kingdom","England","alive"
"eac33e66-2fde-4fdb-a774-2c5db79527e1","115350059","CC-BY-NC","BTO","Turdus iliacus","Linnaeus, 1758","","Redwing","NHMSYS0000530673","species","present","2018-03-04","04","03","2018","","","","","","SD47E","54.203336","-2.905979","1414.2","","Withheld","","","","","","","","","","Accepted - considered correct","HumanObservation","","Birds (BTO+partners) 2016 - 2019","dr2382","British Trust for Ornithology","dp29","BTO","Animalia","Chordata","Aves","Passeriformes","Turdidae","Turdus","SD","SD47","SD47E","","United Kingdom","England","alive"
"eac1015a-47c7-4f4b-8ff4-e8728dac8c09","118920244","CC-BY-NC","BTO","Turdus iliacus","Linnaeus, 1758","","Redwing","NHMSYS0000530673","species","present","2018-03-02","02","03","2018","","","","","","SD6068","54.110851","-2.605684","707.1","","Withheld","","","","","","","","","","Accepted - considered correct","HumanObservation","","Birds (BTO+partners) 2016 - 2019","dr2382","British Trust for Ornithology","dp29","BTO","Animalia","Chordata","Aves","Passeriformes","Turdidae","Turdus","SD","SD66","SD66E","SD6068","United Kingdom","England","alive"
"e63df5fd-b98b-4a25-8293-3eabf2b59af3","102541840","CC-BY-NC","BTO","Turdus iliacus","Linnaeus, 1758","","Redwing","NHMSYS0000530673","species","present","2018-03-19","19","03","2018","","","","","","SD58I","54.276472","-2.723292","1414.2","","Withheld","","","","","","","","","","Accepted - considered correct","HumanObservation","","Birds (BTO+partners) 2016 - 2019","dr2382","British Trust for Ornithology","dp29","BTO","Animalia","Chordata","Aves","Passeriformes","Turdidae","Turdus","SD","SD58","SD58I","","United Kingdom","England","alive"
"e63c3d2d-7a5a-4696-8089-30c2cd8791e9","122492980","CC-BY-NC","BTO","Turdus iliacus","Linnaeus, 1758","","Redwing","NHMSYS0000530673","species","present","2018-03-05","05","03","2018","","","","","","SD5172","54.146026","-2.74398","707.1","","Withheld","","","","","","","","","","Accepted - considered correct","HumanObservation","","Birds (BTO+partners) 2016 - 2019","dr2382","British Trust for Ornithology","dp29","BTO","Animalia","Chordata","Aves","Passeriformes","Turdidae","Turdus","SD","SD57","SD57B","SD5172","United Kingdom","England","alive"
"e590b447-96f7-4c53-a7a7-80752b75c9ef","119446006","CC-BY-NC","BTO","Turdus iliacus","Linnaeus, 1758","","Redwing","NHMSYS0000530673","species","present","2016-03-24","24","03","2016","","","","","","NX95","54.9","-3.7","7071.1","","Withheld","","","","","","","","","","Accepted - considered correct","HumanObservation","","Birds (BTO+partners) 2016 - 2019","dr2382","British Trust for Ornithology","dp29","BTO","Animalia","Chordata","Aves","Passeriformes","Turdidae","Turdus","NX","NX95","","","United Kingdom","Scotland","alive"
"e1cfa69f-53c2-4212-9fae-0241e83915e5","115979541","CC-BY-NC","BTO","Turdus iliacus","Linnaeus, 1758","","Redwing","NHMSYS0000530673","species","present","2018-03-01","01","03","2018","","","","","","SD4972","54.145833","-2.774594","707.1","","Withheld","","","","","","","","","","Accepted - considered correct","HumanObservation","","Birds (BTO+partners) 2016 - 2019","dr2382","British Trust for Ornithology","dp29","BTO","Animalia","Chordata","Aves","Passeriformes","Turdidae","Turdus","SD","SD47","SD47W","SD4972","United Kingdom","England","alive"
"deb7691d-da21-46d6-94b9-c3df12996faf","109364587","CC-BY-NC","BTO","Turdus iliacus","Linnaeus, 1758","","Redwing","NHMSYS0000530673","species","present","2019-03-08","08","03","2019","","","","","","NY5330","54.667418","-2.722472","707.1","","Withheld","","","","","","","","","","Accepted - considered correct","HumanObservation","","Birds (BTO+partners) 2016 - 2019","dr2382","British Trust for Ornithology","dp29","BTO","Animalia","Chordata","Aves","Passeriformes","Turdidae","Turdus","NY","NY53","NY53F","NY5330","United Kingdom","England","alive"
"dd58aafb-37ae-4d1d-a376-a6d10a9dd068","118290865","CC-BY-NC","BTO","Turdus iliacus","Linnaeus, 1758","","Redwing","NHMSYS0000530673","species","present","2017-03-14","14","03","2017","","","","","","SD3075","54.170567","-3.066108","707.1","","Withheld","","","","","","","","","","Accepted - considered correct","HumanObservation","","Birds (BTO+partners) 2016 - 2019","dr2382","British Trust for Ornithology","dp29","BTO","Animalia","Chordata","Aves","Passeriformes","Turdidae","Turdus","SD","SD37","SD37C","SD3075","United Kingdom","England","alive"
